Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2021-01-01,20.25,5.083333333,13.125,5.583333333,66.75
2021-01-02,26.25,4.5,19.20833333,5.708333333,66.66666667
2021-01-03,20.41666667,4,17.91666667,6.083333333,60.04166667
2021-01-04,25.66666667,6,24.54166667,7.208333333,63.79166667
2021-01-05,26.16666667,12.75,20,5.583333333,78.5
2021-01-06,17.125,12.58333333,18.83333333,7.875,74.95833333
2021-01-07,20.33333333,11.41666667,18.16666667,4.333333333,56.25
2021-01-08,23.58333333,26.25,17.125,5.208333333,73.70833333
2021-01-09,15.375,6.5,15.91666667,5.125,62.08333333
2021-01-10,13.58333333,2.916666667,11.375,3.791666667,35.45833333
2021-01-11,11.16666667,5.916666667,13.41666667,3.625,35.16666667
2021-01-12,12.45833333,5.333333333,13.70833333,5.25,36.91666667
2021-01-13,14.33333333,5,20.625,6.375,46.04166667
2021-01-14,11.58333333,9.75,17.375,6.208333333,60.95833333
2021-01-15,18.375,14.91666667,22.04166667,6.5,62.29166667
2021-01-16,15.41666667,25.33333333,16.875,4.958333333,79.79166667
2021-01-17,8.25,9.25,10.95833333,4.416666667,38.625
2021-01-18,14,3.5,16.95833333,9.208333333,36.5
2021-01-19,24.79166667,4,18.125,7.958333333,53.375
2021-01-20,16.91666667,15.16666667,15.5,5.041666667,59.75
2021-01-21,19.83333333,17.33333333,15.20833333,5.666666667,53.16666667
2021-01-22,25.5,6.25,16.33333333,7.666666667,61.625
2021-01-23,33.25,6,22.91666667,7.833333333,71.79166667
2021-01-24,22.58333333,5.25,18.08333333,6.5,73.54166667
2021-01-25,20.91666667,4,17.625,6.5,61.58333333
2021-01-26,27.75,4,17.54166667,5.791666667,57.375
2021-01-27,17.95833333,5.166666667,18.41666667,7.916666667,84.54166667
2021-01-28,22.25,5.166666667,11.95833333,3.708333333,76.625
2021-01-29,28.66666667,21.33333333,18.08333333,4.875,60.45833333
