Estado,Abreviatura,Regiones,Mujeres,Hombres,No_esp
 Aguascalientes,AG,Noreste,13,73,1
 Baja California,BC,Noroeste,291,2279,111
 Baja California Sur,BS,Noroeste,15,74,0
 Campeche,CM,Sureste,13,95,2
 Coahuila de Zaragoza,CO,Noreste,26,143,0
 Colima,CL,Occidente,110,755,2
 Chiapas,CS,Sureste,65,432,2
 Chihuahua,CH,Noroeste,237,1776,3
 CDMX,CX,Centro-Sur,107,635,0
 Durango,DG,Noroeste,25,100,0
 Guanajuato,GT,Noreste,568,3408,280
 Guerrero,GR,Centro-Sur,133,1226,19
 Hidalgo,HG,Occidente,57,314,9
 Jalisco,JC,Noroeste,203,1639,3
 Mexico,EM,Occidente,490,2725,11
 Michoacan,MI,Occidente,241,2044,7
 Morelos,MO,Centro-Sur,109,1040,0
 Nayarit,NA,Noroeste,16,169,1
 Nuevo Leon,NL,Noreste,150,1240,1
 Oaxaca,OA,Sureste,114,626,0
 Puebla,PU,Centro-Sur,123,923,15
 Queretaro,QT,Noreste,26,161,0
 Quintana Roo,QR,Sureste,62,573,0
 San Luis Potosi,SL,Noreste,62,687,2
 Sinaloa,SI,Noroeste,37,515,6
 Sonora,SO,Noroeste,142,1521,60
 Tabasco,TB,Sureste,42,292,0
 Tamaulipas,TM,Noreste,53,373,41
 Tlaxcala,TL,Centro-Sur,14,138,0
 Veracruz,VE,Sureste,86,555,0
 Yucatan,YU,Sureste,7,47,0
 Zacatecas,ZA,Noreste,163,1261,8
